numeroMuseo,numeroCampo,reino,filum,clase,orden,familia,genero,especie,nombre_cientifico,continente,pais,provincia,canton,parroquia,localidad,localidadVerbatim,fuenteCoordenadas,altitudMax,altitudMin,datum,latitude,longitude,estadoDeterminacion,fechaInicioColeccion,fechaFinColeccion,fechaVerbatim,subespecie,variedad,forma,colector,fechaIdentificacion,tejidos,tipo,cita
QCAZI215563,,Animal,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Farrodes,,Farrodes ,,Ecuador,Pastaza,Arajuno,Desconocido,Villano,"Ecuador, Pastaza, Arajuno, Curaray, Villano A",Georreferenciaci�n,"347",,,"-1.458996","-77.451837",,16/10/2018 0:00,,,,,,Patricio Andino,,"0",,
QCAZI215564,,Animal,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Farrodes,,Farrodes ,,Ecuador,Pastaza,Arajuno,Desconocido,Villano,"Ecuador, Pastaza, Arajuno, Curaray, Villano A",Georreferenciaci�n,"347",,,"-1.458996","-77.451837",,16/10/2018 0:00,,,,,,Patricio Andino,,"0",,
QCAZI215565,,Animal,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Thraulodes,,Thraulodes ,,Ecuador,Pastaza,Arajuno,Desconocido,Villano,"Ecuador, Pastaza, Arajuno, Curaray, Villano A",Georreferenciaci�n,"347",,,"-1.458996","-77.451837",,16/10/2018 0:00,,,,,,Patricio Andino,,"0",,
QCAZI215569,,Animal,Arthropoda,Insecta,Trichoptera,Polycentropodidae,Indeterminado,,Indeterminado ,,Ecuador,Pastaza,Arajuno,Desconocido,Villano,"Ecuador,  Pastaza, Puyo, Curaray, Villano, -1,458997, 77,451837, ",Georreferenciaci�n,"346",,,"-1.458997","-77.451837",,16/10/2018 0:00,,,,,,Patricio Andino,,"0",,
QCAZI215570,,Animal,Arthropoda,Insecta,Ephemeroptera,Oligoneuriidae,Lachlania,,Lachlania ,,Ecuador,Pastaza,Arajuno,Desconocido,Paparahua,"Ecuador, Pastaza, Arajuno, Paparahua, Paparahua",Georreferenciaci�n,"364",,,"-1.490492","-77.415307",,29/3/2019 0:00,,,,,,Taryn Ghia,,"0",,
QCAZI215571,,Animal,Arthropoda,Insecta,Ephemeroptera,Polymitarcyidae,Campsurus,,Campsurus ,,Ecuador,Pastaza,Arajuno,Desconocido,V�a VA-VB,"Ecuador, Pastaza, Arajuno, Curaray, V�a VA VB",Georreferenciaci�n,"362",,,"-1.456428","-77.444362",,29/3/2015 0:00,,,,,,Taryn Ghia,,"0",,
QCAZI215572,,Animal,Arthropoda,Insecta,Diptera,Ceratopogonidae,Indeterminado,,Indeterminado ,,Ecuador,Pastaza,Arajuno,Desconocido,Villano,"Ecuador, Pastaza, Puyo, Curaray, Villano A 1�27'30.3S 77�27'06.6W , 343",Georreferenciaci�n,"351",,,"-1.458413","-77.451836",,16/10/2018 0:00,,,,,,Patricio Andino,,"0",,
QCAZI215573,,Animal,Arthropoda,Insecta,Ephemeroptera,Polymitarcyidae,Campsurus,,Campsurus ,,Ecuador,Pastaza,Arajuno,Desconocido,Villano A,"Ecuador, Pastaza, Arajuno, Curaray, Villano A",Georreferenciaci�n,"343",,,"-1.464676","-77.423875",,16/10/2018 0:00,,,,,,Patricio Andino,,"0",,
QCAZI215575,,Animal,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Hydroptila,,Hydroptila ,,Ecuador,Pastaza,Arajuno,Desconocido,Villano,"Ecuador,  Pastaza, Puyo, Curaray, Villano A, -1,458997, 77,451837, ",Georreferenciaci�n,"346",,,"-1.458997","-77.451837",,16/10/2016 0:00,,,,,,Patricio Andino,,"0",,
QCAZI215576,,Animal,Arthropoda,Insecta,Coleoptera,Elmidae,Indeterminado,,Indeterminado ,,Ecuador,Pastaza,Arajuno,Desconocido,Villano,"Ecuador, Pastaza, Villano A, 01�27'30.28S 77�27'06.61W",Georreferenciaci�n,"351",,,"-1.458413","-77.451836",,16/10/2018 0:00,,,,,,Patricio Andino,,"0",,
QCAZI215577,,Animal,Arthropoda,Insecta,Coleoptera,Staphylinidae,Indeterminado,,Indeterminado ,,Ecuador,Pastaza,Arajuno,Desconocido,Villano,"Ecuador, Pastaza, Arajuno, Curaray, Villano A 01�76'23.7S 22�26'45.4W ,343",Georreferenciaci�n,"351",,,"-1.458413","-77.451837",,16/10/2018 0:00,,,,,,Patricio Andino,,"0",,
QCAZI215582,,Animal,Arthropoda,Insecta,Trichoptera,Leptoceridae,Nectopsyche,,Nectopsyche ,,Ecuador,Pastaza,Arajuno,Desconocido,Villano,"Ecuador,  Pastaza, Puyo, Curaray, Villano A, -1,458997, 77,451837, ",Georreferenciaci�n,"346",,,"-1.458997","-77.451837",,16/10/2018 0:00,,,,,,Patricio Andino,,"0",,
QCAZI215583,,Animal,Arthropoda,Insecta,Diptera,Tipulidae,Indeterminado,,Indeterminado ,,Ecuador,Pastaza,Arajuno,Desconocido,Villano,"Ecuador,Pastaza, Villano, -1,45, -77,4518",Georreferenciaci�n,"347",,,"-1.458996","-77.451837",,16/10/2018 0:00,,,,,,Patricio Andino,,"0",,
QCAZI215584,,Animal,Arthropoda,Insecta,Trichoptera,Leptoceridae,Indeterminado,,Indeterminado ,,Ecuador,Pastaza,Arajuno,Desconocido,Villano,"Ecuador,  Pastaza, Puyo, Curaray, Villano A, -1,458997, 77,451837, ",Georreferenciaci�n,"346",,,"-1.458997","-77.451837",,16/1/2015 0:00,,,,,,Patricio Andino,,"0",,
QCAZI215587,,Animal,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Smicridea,,Smicridea ,,Ecuador,Pastaza,Arajuno,Desconocido,Villano A,"Ecuador, Pastaza, Arajuno, 9838588, 227176",Georreferenciaci�n,"351",,,"-1.458413","-77.451836",,16/10/2018 0:00,,,,,,Patricio Andino,,"0",,
