datasetName;fileName;TaxonRank;class;family;genus;scientificName;decimalLatitude;decimalLongitude;occurrenceID;basisOfRecord;verbatimEventDate;country;stateProvince;locality;identifiedBy;coordinateUncertaintyInMeters;coordinatePrecision;recordedBy;year;institutionCode
IDIGBIO;Data/Records/IDIGBIO.csv;dwc:taxonRank;dwc:class;dwc:family;dwc:genus;dwc:scientificName;dwc:decimalLatitude;dwc:decimalLongitude;coreid;dwc:basisOfRecord;dwc:eventDate;dwc:country;dwc:stateProvince;dwc:locality;NA;dwc:coordinateUncertaintyInMeters;NA;dwc:recordedBy;dwc:year;dwc:institutionCode
GBIF;Data/Records/GBIF.csv;taxonRank;class;family;genus;scientificName;decimalLatitude;decimalLongitude;occurrenceID;basisOfRecord;eventDate;countryCode;stateProvince;locality;NA;coordinateUncertaintyInMeters;NA;recordedBy;year;institutionCode
BIOWEB;Data/Records/BIOWEB.csv;;clase;familia;genero;nombre_cientifico;latitude;longitude;numeroMuse;;fechaInicioColeccion;pais;provincia;localidad;;;;colector;year;
